Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0154722685	101325	101325	101325	101325	0	0	0	0	0	0	0	3
2	4	0	0.0309445369	101325	101325	101325	101325	0	0	0	0	0	0	0	3
3	4	0	0.0464168054	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	0	3
4	5	0	0.0618890739	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
5	5	0	0.0773613423	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
6	6	0	0.0928336108	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
7	6	0	0.108305879	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
8	7	0	0.123778148	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
9	7	0	0.139250416	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
10	8	0	0.154722685	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
11	8	0	0.170194953	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
12	9	0	0.185667222	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
13	9	0	0.20113949	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
14	10	0	0.216611758	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
15	10	0	0.232084027	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
16	11	0	0.247556295	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
17	12	0	0.263028564	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
18	12	0	0.278500832	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
19	12	0	0.293973101	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
20	13	0	0.309445369	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
21	14	0	0.324917638	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
22	14	0	0.340389906	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
23	14	0	0.355862175	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
24	15	0	0.371334443	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
25	15	0	0.386806712	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
26	16	0	0.40227898	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
27	17	0	0.417751249	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
28	17	0	0.433223517	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
29	18	0	0.448695785	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
30	18	0	0.464168054	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
31	19	0	0.479640322	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
32	19	0	0.495112591	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
33	20	0	0.510584859	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
34	20	0	0.526057128	101325	101325	101325	101325	1.74622983e-10	0	0	0	0	0	0	3
35	21	0	0.541529396	101325	101325	101325	101325	1.01863407e-10	0	0	0	0	0	0	3
36	21	0	0.557001665	101325	101325	101325	101325	1.16415322e-10	0	0	0	0	0	0	3
37	22	0	0.572473933	101325	101325	101325	101325	8.73114914e-11	0	0	0	0	0	0	3
