Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0154722685	293.2	293.2	293.2	293.2	0	0	0	0	1.49009e-09	0	0	3
2	4	0	0.0309445369	293.2	293.2	293.2	293.2	2.33058017e-12	0	0	0	1.48651e-09	0	0	3
3	4	0	0.0464168054	293.2	293.2	293.2	293.2	5.22959454e-12	0	0	0	1.48475e-09	0	0	3
4	5	0	0.0618890739	293.2	293.2	293.2	293.2	7.73070497e-12	0	0	0	1.48293e-09	0	0	3
5	5	0	0.0773613423	293.2	293.2	293.2	293.2	1.00612851e-11	0	0	0	1.48094e-09	0	0	3
6	6	0	0.0928336108	293.2	293.2	293.2	293.2	1.38129508e-11	0	0	0	1.4756e-09	0	0	3
7	6	0	0.108305879	293.2	293.2	293.2	293.2	2.39310793e-11	0	0	0	1.45292e-09	0	0	3
8	7	0	0.123778148	293.2	293.2	293.2	293.2	6.52562449e-11	0	0	0	1.30734e-09	0	0	3
9	7	0	0.139250416	293.2	293.2	293.2	293.2	1.71155534e-10	0	0	0	6.71264e-10	0	0	3
10	8	0	0.154722685	293.2	293.2	293.2	293.2	2.95074187e-10	0	0	0	2.09241e-10	0	0	3
11	8	0	0.170194953	293.2	293.2	293.2	293.2	4.01655598e-10	0	0	0	1.95485e-10	0	0	3
12	9	0	0.185667222	293.2	293.2	293.2	293.2	4.90160801e-10	0	0	0	2.09752e-10	0	0	3
13	9	0	0.20113949	293.2	293.2	293.2	293.2	5.64739366e-10	0	0	0	2.2942e-10	0	0	3
14	10	0	0.216611758	293.2	293.2	293.2	293.2	6.28290309e-10	0	0	0	2.50793e-10	0	0	3
15	10	0	0.232084027	293.2	293.2	293.2	293.2	6.83087364e-10	0	0	0	2.68813e-10	0	0	3
16	11	0	0.247556295	293.2	293.2	293.2	293.2	7.30665306e-10	0	0	0	2.8831e-10	0	0	3
17	12	0	0.263028564	293.2	293.2	293.2	293.2	7.72445219e-10	0	0	0	3.05533e-10	0	0	3
18	12	0	0.278500832	293.2	293.2	293.2	293.2	8.09279754e-10	0	0	0	3.21222e-10	0	0	3
19	12	0	0.293973101	293.2	293.2	293.2	293.2	8.4196472e-10	0	0	0	3.35433e-10	0	0	3
20	13	0	0.309445369	293.2	293.2	293.2	293.2	8.71125394e-10	0	0	0	3.48734e-10	0	0	3
21	14	0	0.324917638	293.2	293.2	293.2	293.2	8.97273367e-10	0	0	0	3.52145e-10	0	0	3
22	14	0	0.340389906	293.2	293.2	293.2	293.2	9.20920229e-10	0	0	0	3.63684e-10	0	0	3
23	14	0	0.355862175	293.2	293.2	293.2	293.2	9.42350198e-10	0	0	0	3.74655e-10	0	0	3
24	15	0	0.371334443	293.2	293.2	293.2	293.2	9.6167696e-10	0	0	0	3.85e-10	0	0	3
25	15	0	0.386806712	293.2	293.2	293.2	293.2	9.7946895e-10	0	0	0	3.94778e-10	0	0	3
26	16	0	0.40227898	293.2	293.2	293.2	293.2	9.95612481e-10	0	0	0	4.01485e-10	0	0	3
27	17	0	0.417751249	293.2	293.2	293.2	293.2	1.01039177e-09	0	0	0	4.10409e-10	0	0	3
28	17	0	0.433223517	293.2	293.2	293.2	293.2	1.02397735e-09	0	0	0	4.18879e-10	0	0	3
29	18	0	0.448695785	293.2	293.2	293.2	293.2	1.03653974e-09	0	0	0	4.26951e-10	0	0	3
30	18	0	0.464168054	293.2	293.2	293.2	293.2	1.04802211e-09	0	0	0	4.34738e-10	0	0	3
31	19	0	0.479640322	293.2	293.2	293.2	293.2	1.05865183e-09	0	0	0	4.40821e-10	0	0	3
32	19	0	0.495112591	293.2	293.2	293.2	293.2	1.06854259e-09	0	0	0	4.4804e-10	0	0	3
33	20	0	0.510584859	293.2	293.2	293.2	293.2	1.07769438e-09	0	0	0	4.55032e-10	0	0	3
34	20	0	0.526057128	293.2	293.2	293.2	293.2	1.11674581e-09	0	0	0	4.61739e-10	0	0	3
35	21	0	0.541529396	293.2	293.2	293.2	293.2	1.15494458e-09	0	0	0	4.68276e-10	0	0	3
36	21	0	0.557001665	293.2	293.2	293.2	293.2	1.19325705e-09	0	0	0	4.73506e-10	0	0	3
37	22	0	0.572473933	293.2	293.2	293.2	293.2	1.23156951e-09	0	0	0	4.79645e-10	0	0	3
38	22	0	0.587946202	293.2	293.2	293.2	293.2	1.26806299e-09	0	0	0	4.85556e-10	0	0	3
39	23	0	0.60341847	293.2	293.2	293.2	293.2	1.2977921e-09	0	0	0	4.91298e-10	0	0	3
40	23	0	0.618890739	293.2	293.2	293.2	293.2	1.11253939e-09	0	0	0	4.96868e-10	0	0	3
41	24	0	0.634363007	293.2	293.2	293.2	293.2	4.4940407e-10	0	0	0	5.01416e-10	0	0	3
