Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0154722685
2	4	0	0.0309445369
3	4	0	0.0464168054
4	5	0	0.0618890739
5	5	0	0.0773613423
6	6	0	0.0928336108
7	6	0	0.108305879
8	7	0	0.123778148
9	7	0	0.139250416
10	8	0	0.154722685
11	8	0	0.170194953
12	9	0	0.185667222
13	9	0	0.20113949
14	10	0	0.216611758
15	10	0	0.232084027
16	11	0	0.247556295
17	12	0	0.263028564
18	12	0	0.278500832
19	12	0	0.293973101
20	13	0	0.309445369
21	14	0	0.324917638
22	14	0	0.340389906
23	14	0	0.355862175
24	15	0	0.371334443
25	15	0	0.386806712
26	16	0	0.40227898
27	17	0	0.417751249
28	17	0	0.433223517
29	18	0	0.448695785
30	18	0	0.464168054
31	19	0	0.479640322
32	19	0	0.495112591
33	20	0	0.510584859
34	20	0	0.526057128
35	21	0	0.541529396
36	21	0	0.557001665
37	22	0	0.572473933
38	22	0	0.587946202
39	23	0	0.60341847
40	23	0	0.618890739
41	24	0	0.634363007
42	24	0	0.649835275
43	25	0	0.665307544
44	25	0	0.680779812
45	26	0	0.696252081
46	27	0	0.711724349
47	27	0	0.727196618
48	28	0	0.742668886
49	29	0	0.758141155
50	29	0	0.773613423
51	30	0	0.789085692
52	30	0	0.80455796
53	31	0	0.820030229
54	31	0	0.835502497
55	32	0	0.850974765
56	32	0	0.866447034
57	33	0	0.881919302
58	33	0	0.897391571
59	34	0	0.912863839
60	34	0	0.928336108
61	35	0	0.943808376
62	36	0	0.959280645
63	36	0	0.974752913
64	37	0	0.990225182
65	37	0	1.00569745
